tdp_code,ward_code,province_code,name,full_name,unit_type,code_name,seq,arrangement,verified,effective_date
00004.001,00004,01,1,Tổ dân phố 1,tổ dân phố,1,1,2026_07,unverified,2026-07-01
00004.002,00004,01,2,Tổ dân phố 2,tổ dân phố,2,2,2026_07,unverified,2026-07-01
00004.003,00004,01,3,Tổ dân phố 3,tổ dân phố,3,3,2026_07,unverified,2026-07-01
00004.004,00004,01,4,Tổ dân phố 4,tổ dân phố,4,4,2026_07,unverified,2026-07-01
00004.005,00004,01,5,Tổ dân phố 5,tổ dân phố,5,5,2026_07,unverified,2026-07-01
00004.006,00004,01,6,Tổ dân phố 6,tổ dân phố,6,6,2026_07,unverified,2026-07-01
00004.007,00004,01,7,Tổ dân phố 7,tổ dân phố,7,7,2026_07,unverified,2026-07-01
00004.008,00004,01,8,Tổ dân phố 8,tổ dân phố,8,8,2026_07,unverified,2026-07-01
00004.009,00004,01,9,Tổ dân phố 9,tổ dân phố,9,9,2026_07,unverified,2026-07-01
00004.010,00004,01,10,Tổ dân phố 10,tổ dân phố,10,10,2026_07,unverified,2026-07-01
00004.011,00004,01,11,Tổ dân phố 11,tổ dân phố,11,11,2026_07,unverified,2026-07-01
00004.012,00004,01,12,Tổ dân phố 12,tổ dân phố,12,12,2026_07,unverified,2026-07-01
00004.013,00004,01,13,Tổ dân phố 13,tổ dân phố,13,13,2026_07,unverified,2026-07-01
00004.014,00004,01,14,Tổ dân phố 14,tổ dân phố,14,14,2026_07,unverified,2026-07-01
00004.015,00004,01,15,Tổ dân phố 15,tổ dân phố,15,15,2026_07,unverified,2026-07-01
00004.016,00004,01,16,Tổ dân phố 16,tổ dân phố,16,16,2026_07,unverified,2026-07-01
00004.017,00004,01,17,Tổ dân phố 17,tổ dân phố,17,17,2026_07,unverified,2026-07-01
00004.018,00004,01,18,Tổ dân phố 18,tổ dân phố,18,18,2026_07,unverified,2026-07-01
00008.001,00008,01,1,Tổ dân phố 1,tổ dân phố,1,1,2026_07,unverified,2026-07-01
00008.002,00008,01,2,Tổ dân phố 2,tổ dân phố,2,2,2026_07,unverified,2026-07-01
00008.003,00008,01,3,Tổ dân phố 3,tổ dân phố,3,3,2026_07,unverified,2026-07-01
00008.004,00008,01,4,Tổ dân phố 4,tổ dân phố,4,4,2026_07,unverified,2026-07-01
00008.005,00008,01,5,Tổ dân phố 5,tổ dân phố,5,5,2026_07,unverified,2026-07-01
00008.006,00008,01,6,Tổ dân phố 6,tổ dân phố,6,6,2026_07,unverified,2026-07-01
00008.007,00008,01,7,Tổ dân phố 7,tổ dân phố,7,7,2026_07,unverified,2026-07-01
00008.008,00008,01,8,Tổ dân phố 8,tổ dân phố,8,8,2026_07,unverified,2026-07-01
00008.009,00008,01,9,Tổ dân phố 9,tổ dân phố,9,9,2026_07,unverified,2026-07-01
