source_key,title,url,date,type,via
wiki-00004-1,Nghị quyết số 111/2025/UBTVQH15 ngày 24 tháng 12 năm 2025 của Ủy ban Thường vụ Quốc hội về phân loại đô thị,https://cdn.nhandan.vn/files/f4a4abf7f9a0ba4a91744616546d850872b76917f90d5a74cc9eebef1369fb6f/111.pdf,2026-04-30,wikipedia-ref,
wiki-00004-2,"Hội đồng nhân dân phường Ba Đình tổ chức thành công kỳ họp thứ hai, khóa I, nhiệm kỳ 2021 – 2026",https://badinh.hanoi.gov.vn/tin-tuc-hoat-dong-hdnd/hoi-dong-nhan-dan-phuong-ba-dinh-to-chuc-thanh-cong-ky-hop-thu-hai-khoa-i-nhiem-ky-2021-2026-2800250719115752514.htm,2025-07-18,wikipedia-ref,
wiki-00004-3,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-06-30,wikipedia-ref,
wiki-00008-1,Thông báo số 178/TB-UBND ngày 31 tháng 7 năm 2026 của Ủy ban nhân dân phường Ngọc Hà về việc công khai Nghị quyết sắp xếp tổ dân phố trên địa bàn phường Ngọc Hà,https://datafiles.hanoi.gov.vn/gov-hni/6930/VanBan/2026/8/6/1785839945519.pdf,,wikipedia-ref,
wiki-00008-2,Nghị quyết số 111/2025/UBTVQH15 ngày 24 tháng 12 năm 2025 của Ủy ban Thường vụ Quốc hội về phân loại đô thị,https://cdn.nhandan.vn/files/f4a4abf7f9a0ba4a91744616546d850872b76917f90d5a74cc9eebef1369fb6f/111.pdf,2026-04-30,wikipedia-ref,
wiki-00008-3,"Quyết định số 14/QĐ-UBBC ngày 24 tháng 2 năm 2026 của Ủy ban bầu cử phường Ngọc Hà về việc công bố danh sách chính thức những người ứng cử đại biểu Hội đồng nhân dân phường Ngọc Hà khóa II, nhiệm kỳ 2026 – 2031",https://ochodua.hanoi.gov.vn/bau-cu-dai-bieu-quoc-hoi-khoa-xvi-va-dai-bieu-hoi-dong-nhan-dan-cac-cap-nhiem-ky-2026-2031/danh-sach-chinh-thuc-nhung-nguoi-ung-cu-dai-bieu-hdnd-phuong-o-cho-dua-khoa-ii-nhiem-ky-2026-2031-2832260226075535494.htm,,wikipedia-ref,
wiki-00025-1,Danh sách chính thức những người ứng cử đại biểu Hội đồng nhân dân phường Giảng Võ khóa II nhiệm kỳ 2026 – 2031,https://giangvo.hanoi.gov.vn/bau-cu-quoc-hoi-va-hdnd-nhiem-ky-2026-2031/cong-bo-danh-sach-chinh-thuc-nhung-nguoi-ung-cu-dai-bieu-hdnd-phuong-giang-vo-khoa-ii-nhiem-ky-2026-2031-2808260227211311486.htm,2026-02-23,wikipedia-ref,
wiki-00025-2,Nghị quyết số 111/2025/UBTVQH15 ngày 24 tháng 12 năm 2025 của Ủy ban Thường vụ Quốc hội về phân loại đô thị,https://cdn.nhandan.vn/files/f4a4abf7f9a0ba4a91744616546d850872b76917f90d5a74cc9eebef1369fb6f/111.pdf,2026-04-30,wikipedia-ref,
wiki-00025-3,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-06-30,wikipedia-ref,
wiki-00070-1,Nghị quyết số 70/NQ-HĐND ngày 28 tháng 8 năm 2025 của Hội đồng nhân dân phường Hoàn Kiếm về việc ghép và đổi tên tổ dân phố trên địa bàn phường Hoàn Kiếm,https://datafiles.hanoi.gov.vn/gov-hni/7257/VanBan/2025/9/16/NQ%20v%E1%BB%81%20vi%E1%BB%87c%20gh%C3%A9p%20v%C3%A0%20%C4%91%E1%BB%95i%20t%C3%AAn%20t%E1%BB%95%20d%C3%A2n%20ph%E1%BB%91.pdf,,wikipedia-ref,
wiki-00070-2,Nghị quyết số 111/2025/UBTVQH15 ngày 24 tháng 12 năm 2025 của Ủy ban Thường vụ Quốc hội về phân loại đô thị,https://cdn.nhandan.vn/files/f4a4abf7f9a0ba4a91744616546d850872b76917f90d5a74cc9eebef1369fb6f/111.pdf,2026-04-30,wikipedia-ref,
wiki-00070-3,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-06-30,wikipedia-ref,
wiki-00082-1,"Nghị quyết về việc thành lập, sắp xếp, tổ chức lại các tổ dân phố trên địa bàn phường Cửa Nam",https://cuanam.hanoi.gov.vn/thong-tin-cong-khai/nghi-quyet-ve-thanh-lap-sap-xep-to-chuc-lai-to-dan-pho-tren-dia-ban-phuong-cua-nam-2801260630145626688.htm,2026-06-29,wikipedia-ref,
wiki-00082-2,"Quyết định số 27/QĐ-UBBC ngày 12 tháng 2 năm 2026 của Ủy ban bầu cử phường Cửa Nam về việc công bố danh sách chính thức những người ứng cử đại biểu Hội đồng nhân dân phường Cửa Nam khóa II, nhiệm kỳ 2026 – 2031 theo từng đơn vị bầu cử",https://cuanam.hanoi.gov.vn/thong-tin-cong-khai/cong-bo-danh-sach-chinh-thuc-nhung-nguoi-ung-cu-dai-bieu-hdnd-phuong-cua-nam-khoa-ii-nhiem-ky-20262031-2801260225102003906.htm,2026-08-16,wikipedia-ref,
wiki-00082-3,Nghị quyết số 111/2025/UBTVQH15 ngày 24 tháng 12 năm 2025 của Ủy ban Thường vụ Quốc hội về phân loại đô thị,https://cdn.nhandan.vn/files/f4a4abf7f9a0ba4a91744616546d850872b76917f90d5a74cc9eebef1369fb6f/111.pdf,2026-04-30,wikipedia-ref,
wiki-00097-1,Quyết định số 33/QĐ-UBBC ngày 23 tháng 2 năm 2026 của Ủy ban bầu cử về việc công bố danh sách chính thức những người ứng cử đại biểu Hội đồng nhân dân phường Hồng Hà nhiệm kỳ 2026 – 2031,https://hongha.hanoi.gov.vn/chi-dao-cua-dia-phuong/quyet-dinh-2815260227140043094.htm,2026-08-15,wikipedia-ref,
wiki-00097-2,Nghị quyết số 111/2025/UBTVQH15 ngày 24 tháng 12 năm 2025 của Ủy ban Thường vụ Quốc hội về phân loại đô thị,https://cdn.nhandan.vn/files/f4a4abf7f9a0ba4a91744616546d850872b76917f90d5a74cc9eebef1369fb6f/111.pdf,2026-04-30,wikipedia-ref,
