province_code,new_ward_code,new_ward_name,new_ward_type,relation,old_unit_type,old_unit_name,old_unit_qualifier,provision_no,source
01,00070,Hoàn Kiếm,phường,toan_bo,phường,Hàng Bạc,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,toan_bo,phường,Hàng Bồ,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,toan_bo,phường,Hàng Buồm,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,toan_bo,phường,Hàng Đào,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,toan_bo,phường,Hàng Gai,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,toan_bo,phường,Hàng Mã,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,toan_bo,phường,Lý Thái Tổ,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,mot_phan,phường,Cửa Đông,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,mot_phan,phường,Cửa Nam,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,mot_phan,phường,Điện Biên,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,mot_phan,phường,Đồng Xuân,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,mot_phan,phường,Hàng Bông,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,mot_phan,phường,Hàng Trống,,1,NQ 1656/NQ-UBTVQH15
01,00070,Hoàn Kiếm,phường,mot_phan,phường,Tràng Tiền,,1,NQ 1656/NQ-UBTVQH15
01,00082,Cửa Nam,phường,toan_bo,phường,Hàng Bài,,2,NQ 1656/NQ-UBTVQH15
01,00082,Cửa Nam,phường,toan_bo,phường,Phan Chu Trinh,,2,NQ 1656/NQ-UBTVQH15
01,00082,Cửa Nam,phường,toan_bo,phường,Trần Hưng Đạo,,2,NQ 1656/NQ-UBTVQH15
01,00082,Cửa Nam,phường,mot_phan,phường,Cửa Nam,,2,NQ 1656/NQ-UBTVQH15
01,00082,Cửa Nam,phường,mot_phan,phường,Nguyễn Du,,2,NQ 1656/NQ-UBTVQH15
01,00082,Cửa Nam,phường,mot_phan,phường,Phạm Đình Hổ,,2,NQ 1656/NQ-UBTVQH15
01,00082,Cửa Nam,phường,phan_con_lai,phường,Hàng Bông,,2,NQ 1656/NQ-UBTVQH15
01,00082,Cửa Nam,phường,phan_con_lai,phường,Hàng Trống,,2,NQ 1656/NQ-UBTVQH15
01,00082,Cửa Nam,phường,phan_con_lai,phường,Tràng Tiền,,2,NQ 1656/NQ-UBTVQH15
01,00004,Ba Đình,phường,toan_bo,phường,Quán Thánh,,3,NQ 1656/NQ-UBTVQH15
01,00004,Ba Đình,phường,toan_bo,phường,Trúc Bạch,,3,NQ 1656/NQ-UBTVQH15
01,00004,Ba Đình,phường,mot_phan,phường,Cửa Nam,,3,NQ 1656/NQ-UBTVQH15
