ward_code,province_code,name,full_name,name_en,full_name_en,code_name,unit_type,postal_code
00004,01,Ba Đình,Phường Ba Đình,Ba Dinh,Ba Dinh Ward,ba_dinh,Phường,11120
00008,01,Ngọc Hà,Phường Ngọc Hà,Ngoc Ha,Ngoc Ha Ward,ngoc_ha,Phường,11119
00025,01,Giảng Võ,Phường Giảng Võ,Giang Vo,Giang Vo Ward,giang_vo,Phường,11110
00070,01,Hoàn Kiếm,Phường Hoàn Kiếm,Hoan Kiem,Hoan Kiem Ward,hoan_kiem,Phường,11024
00082,01,Cửa Nam,Phường Cửa Nam,Cua Nam,Cua Nam Ward,cua_nam,Phường,11018
00091,01,Phú Thượng,Phường Phú Thượng,Phu Thuong,Phu Thuong Ward,phu_thuong,Phường,11210
00097,01,Hồng Hà,Phường Hồng Hà,Hong Ha,Hong Ha Ward,hong_ha,Phường,11025
00103,01,Tây Hồ,Phường Tây Hồ,Tay Ho,Tay Ho Ward,tay_ho,Phường,11214
00118,01,Bồ Đề,Phường Bồ Đề,Bo De,Bo De Ward,bo_de,Phường,11813
00127,01,Việt Hưng,Phường Việt Hưng,Viet Hung,Viet Hung Ward,viet_hung,Phường,11806
00136,01,Phúc Lợi,Phường Phúc Lợi,Phuc Loi,Phuc Loi Ward,phuc_loi,Phường,11817
00145,01,Long Biên,Phường Long Biên,Long Bien,Long Bien Ward,long_bien,Phường,11814
00160,01,Nghĩa Đô,Phường Nghĩa Đô,Nghia Do,Nghia Do Ward,nghia_do,Phường,11307
00166,01,Cầu Giấy,Phường Cầu Giấy,Cau Giay,Cau Giay Ward,cau_giay,Phường,11314
00175,01,Yên Hoà,Phường Yên Hoà,Yen Hoa,Yen Hoa Ward,yen_hoa,Phường,11312
00190,01,Ô Chợ Dừa,Phường Ô Chợ Dừa,O Cho Dua,O Cho Dua Ward,o_cho_dua,Phường,11511
00199,01,Láng,Phường Láng,Lang,Lang Ward,lang,Phường,11528
00226,01,Văn Miếu - Quốc Tử Giám,Phường Văn Miếu - Quốc Tử Giám,Van Mieu - Quoc Tu Giam,Van Mieu - Quoc Tu Giam Ward,van_mieu_quoc_tu_giam,Phường,11508
00229,01,Kim Liên,Phường Kim Liên,Kim Lien,Kim Lien Ward,kim_lien,Phường,11520
00235,01,Đống Đa,Phường Đống Đa,Dong Da,Dong Da Ward,dong_da,Phường,11527
00256,01,Hai Bà Trưng,Phường Hai Bà Trưng,Hai Ba Trung,Hai Ba Trung Ward,hai_ba_trung,Phường,11626
00283,01,Vĩnh Tuy,Phường Vĩnh Tuy,Vinh Tuy,Vinh Tuy Ward,vinh_tuy,Phường,11622
00292,01,Bạch Mai,Phường Bạch Mai,Bach Mai,Bach Mai Ward,bach_mai,Phường,11618
00301,01,Vĩnh Hưng,Phường Vĩnh Hưng,Vinh Hung,Vinh Hung Ward,vinh_hung,Phường,11712
00316,01,Định Công,Phường Định Công,Dinh Cong,Dinh Cong Ward,dinh_cong,Phường,11717
00322,01,Tương Mai,Phường Tương Mai,Tuong Mai,Tuong Mai Ward,tuong_mai,Phường,11715
00328,01,Lĩnh Nam,Phường Lĩnh Nam,Linh Nam,Linh Nam Ward,linh_nam,Phường,11709
00331,01,Hoàng Mai,Phường Hoàng Mai,Hoang Mai,Hoang Mai Ward,hoang_mai,Phường,11720
00337,01,Hoàng Liệt,Phường Hoàng Liệt,Hoang Liet,Hoang Liet Ward,hoang_liet,Phường,11719
00340,01,Yên Sở,Phường Yên Sở,Yen So,Yen So Ward,yen_so,Phường,11707
00352,01,Phương Liệt,Phường Phương Liệt,Phuong Liet,Phuong Liet Ward,phuong_liet,Phường,11412
00364,01,Khương Đình,Phường Khương Đình,Khuong Dinh,Khuong Dinh Ward,khuong_dinh,Phường,11410
00367,01,Thanh Xuân,Phường Thanh Xuân,Thanh Xuan,Thanh Xuan Ward,thanh_xuan,Phường,11417
00376,01,Sóc Sơn,Xã Sóc Sơn,Soc Son,Soc Son Commune,soc_son,Xã,12206
